movieCd,movieNm,movieNmEn,openDt,repGenreNm,repNationNm,directors
20168888,"금지된 섹스, 달콤한 복수 무삭제 감독판",,20160825,멜로/로맨스,한국,이숭환
20150982,"금지된 섹스, 달콤한 복수",,20160114,멜로/로맨스,한국,이숭환
20166130,내 학생의 엄마,,20160825,멜로/로맨스,한국,기대호
20169366,부부의 스폰서,,20160909,멜로/로맨스,한국,황성욱
20160941,착한 형수,,20161027,멜로/로맨스,한국,기대호
20163323,애마부인 2016,,20160614,멜로/로맨스,한국,김미연
20168085,미용실 : 특별한 서비스,,20161229,멜로/로맨스,한국,이리단
20161761,관음증,,20160225,멜로/로맨스,한국,이상빈
20160876,어린 형수 - 무삭제판,,20161013,멜로/로맨스,한국,최우성
20160875,어린 형수,,20160923,멜로/로맨스,한국,최우성
20161569,새엄마,,20161103,멜로/로맨스,한국,김무원
20165801,젊은엄마 : 디 오리지널,,20160623,멜로/로맨스,한국,정도수
20164001,착한 여비서의 목적,,20160520,멜로/로맨스,한국,김효재
20160142,내 친구의 엄마,,20161012,멜로/로맨스,한국,탁승오
20165203,매춘 2016,Harlotry 2016,20161124,멜로/로맨스,한국,이상우
20165344,주말부부,,20160708,멜로/로맨스,한국,기대호
20163665,잠 못 이루는 섹스 2,,20160518,멜로/로맨스,한국,이민환
20162205,잠 못 이루는 섹스,,20160331,멜로/로맨스,한국,이민환
20165441,나도 때론 포르노그라피의 주인공이고 싶다 : 감독판,WET DREAM,20160613,멜로/로맨스,한국,장성수
20163583,누나 친구 무삭제판,,20160517,멜로/로맨스,한국,신현철
20161342,누나 친구,,20160121,멜로/로맨스,한국,신현철
20163689,스와핑 : 친구의 아내,,20161115,멜로/로맨스,한국,홍성수
20165785,친구 누나 무삭제,,20160621,멜로/로맨스,한국,채길병
20161971,친구 누나,,20160310,멜로/로맨스,한국,채길병
20168687,교수와 여제자: 사랑,Happiness Of Law,20160818,성인물(에로),일본,엔 카즈키
20165968,바람난 여자들 무삭제판,,20161220,멜로/로맨스,한국,기대호
20165423,바람난 여자들,,20160721,멜로/로맨스,한국,기대호
20160710,외도(무삭제판),,20160922,멜로/로맨스,한국,최우성
20166441,외도,,20160714,멜로/로맨스,한국,최우성
20163848,정사 : 결혼 말고 연애 무삭제,,20161115,멜로/로맨스,한국,조경훈
20162924,정사 : 결혼 말고 연애,,20160419,멜로/로맨스,한국,조경훈
20160401,새오빠,,20160920,멜로/로맨스,한국,이상우
20166197,내 아내의 언니,,20161220,성인물(에로),한국,이상우
20150846,신 금병매,The Forbidden Legend : Sex & Chopsticks (5 episodes),20160107,멜로/로맨스,중국,진건화
20134445,금병매,The Forbidden Legend Sex & Chopsticks,20160908,멜로/로맨스,홍콩,전문기
20161869,신 금병매 2,The Forbidden Legend : Sex & Chopsticks (5 episodes),20160218,멜로/로맨스,중국,담명
20164301,엄딸,,20160526,멜로/로맨스,한국,강백호
20153450,우리들,The World of Us,20160616,드라마,한국,윤가은
20162629,하이큐!! 끝과 시작,HAIKYU!!The movie-The End and the Beginning,20161116,애니메이션,일본,미츠나카 스스무
20145396,널 기다리며,Missing You,20160310,스릴러,한국,모홍진
20167102,휴가,A Way Back to Mother,20161208,가족,한국,이수성
20151224,하프,Half,20160121,드라마,한국,김세연
20163189,태풍이 지나가고,After the Storm,20160727,드라마,일본,고레에다 히로카즈
20120111,기억의 소리,The Sound of Memories,20161215,드라마,한국,이공희
20165543,하이큐!! 승자와 패자,HAIKYU!! The Winner and the Loser,20161228,애니메이션,일본,미츠나카 스스무
20152105,"시발, 놈: 인류의 시작",Super Origin,20160818,코미디,한국,백승기
20163285,드롭박스,The Drop Box,20160519,다큐멘터리,한국,브라이언 아이비
20163041,자백,Spy Nation,20161013,다큐멘터리,한국,최승호
20158822,설행_눈길을 걷다,Snow Paths,20160303,드라마,한국,김희정
20150020,사울의 아들,Son of Saul,20160225,드라마,헝가리,라즐로 네메스
20150762,순응자,The Conformist,20160128,드라마,이탈리아,베르나르도 베르톨루치
20154661,형,MY ANNOYING BROTHER,20161123,코미디,한국,권수경
20162569,오베라는 남자,A man called ove,20160525,드라마,스웨덴,하네스 홀름
20081338,400번의 구타,The 400 Blows,20160413,드라마,프랑스,프랑수아 트뤼포
20150607,돌싱의 맛있는 유혹,Hamerareta miboujin misaki kyoko,20160110,성인물(에로),일본,카에데
20163164,본 투 비 블루,Born to Be Blue,20160609,드라마,캐나다,로버트 뷔드로
19648012,비틀즈: 하드 데이즈 나이트,A Hard Day's Night,20160505,코미디,영국,리차드 레스터
20159364,캡틴 아메리카: 시빌 워,Captain America: Civil War,20160427,액션,미국,안소니 루소
20156942,로렐,Laurel,20160707,드라마,미국,피터 솔레트
20150942,캐롤,Carol,20160204,드라마,미국,토드 헤인즈
20161589,죽여주는 여자,The Bacchus Lady,20161006,드라마,한국,이재용
20156559,계춘할망,Canola,20160519,가족,한국,창
20162242,우주의 크리스마스,Woojoo's Christmas,20161013,판타지,한국,김경형
20155501,주토피아,Zootopia,20160217,애니메이션,미국,바이론 하워드
