movieCd,movieNm,movieNmEn,openDt,repGenreNm,repNationNm,directors
20191306,그녀의 대범한 유혹,,20191126,기타,일본,아사기리 조
20193671,음란한 자매,,20190712,코미디,한국,김래이
20186324,언더독,Underdog,20190116,애니메이션,한국,오성윤
20197359,순결선언 : 죄책감에 젖은 육체,ANOHITODAKETO CHIKATTANONI,20190321,기타,일본,이나바루
20196444,외로운 아줌마의 성욕,,20190128,,일본,테에자가
20183334,"유기농 섹드립 로맨스 ""오목리 미스킴""",,20190411,,한국,김원기
20191307,형수와의 비밀 - 체인지,,20191126,기타,일본,무명
20197582,착한처제 2019,,20191025,기타,한국,왕지방
20198299,쾌락을 알려준 새엄마,Kinshin-mugon-sokan Usui Satomi,20190506,성인물(에로),일본,사루
20191368,말할 수 없는 만남 - 남편 상사와의 불륜,,20191126,기타,일본,무명
20190440,스윙어:막장불륜멜로,Swing,20191209,코미디,칠레,무명
20192186,섹스앤러브돌,SEX and Love Doll : Angela,20190528,기타,일본,무명
20197854,노크노크-섹스별장 ,Homejack Reverse,20190927,기타,일본,무명
20196343,금지된 사랑 : 나는 친구의 아내를…,,20190125,,일본,아사기리 키요시
20197684,외도에 빠진 아내,,20190218,기타,한국,박은석
20181872,내 학생의 엄마 4,,20191014,멜로/로맨스,한국,유해종
20185428,룸싸롱 여대생들 2 무삭제,,20191210,멜로/로맨스,한국,조태호
20185284,룸싸롱 여대생들 2,,20190708,멜로/로맨스,한국,조태호
20181908,착한 형수 4,,20190819,멜로/로맨스,한국,임현태
20183662,여자 하숙집 3 무삭제,,20191212,멜로/로맨스,한국,조태호
20183647,여자 하숙집 3,,20190612,멜로/로맨스,한국,조태호
20197395,어린 형수 5,,20191017,멜로/로맨스,한국,최우성
20197151,어린 형수 4-무삭제판,,20190318,멜로/로맨스,한국,최우성
20184763,어린 형수 4,,20190104,멜로/로맨스,한국,최우성
20193534,쇼킹재팬 : 불륜의 왕국,OPEN MARRIAGE,20191231,,일본,이시카와 지로
20195855,내 아내의 언니 3 무삭제,,20190614,성인물(에로),한국,조태호
20184566,내 아내의 언니 3,,20190124,성인물(에로),한국,조태호
20190280,날씨의 아이,Weathering With You,20191030,애니메이션,일본,신카이 마코토
20199950,조커,Joker,20191002,액션,미국,토드 필립스
20183782,기생충,PARASITE,20190530,드라마,한국,봉준호
20185881,증인,Innocent Witness,20190213,드라마,한국,이한
20190821,깡패들,The Gangsters,20190902,액션,한국,소영환
20190804,나는 원래 대전에서 로맨틱 코미디를 찍으려고 했었다,Daejeon Romantic Comedy,20190601,드라마,한국,배기원
20177539,사바하,SVAHA : THE SIXTH FINGER,20190220,미스터리,한국,장재현
20191644,독고다이,On Your Own,20190618,드라마,한국,이수성
20181676,아내의 맛 무삭제판,,20190422,멜로/로맨스,한국,김부곤
20197803,겨울왕국 2,Frozen 2,20191121,애니메이션,미국,크리스 벅
20191546,월성,"Wolsong, The Vanishing Village",20191212,다큐멘터리,한국,남태제
20173991,얼굴들,Possible Faces,20190124,드라마,한국,이강현
20180937,더 페이버릿: 여왕의 여자,THE FAVOURITE,20190221,드라마,미국,요르고스 란티모스
20199981,눈의 여왕4,The Snow Queen: Mirrorlands,20191224,애니메이션,러시아,로버트 렌스
20199735,유랑지구,The Wandering Earth,20190418,SF,중국,프란트 궈
20194066,열여섯의 봄,The Crossing,20191107,드라마,중국,바이 슈에
20192206,백두산,ASHFALL,20191219,어드벤처,한국,이해준
20181198,보희와 녹양,A Boy and Sungreen,20190529,드라마,한국,안주영
20169284,이태원,Itaewon,20191205,다큐멘터리,한국,강유가람
20183867,알라딘,Aladdin,20190523,어드벤처,미국,가이 리치
20191604,애프터,After,20190822,드라마,미국,제니 게이지
20185361,두번할까요,"LOVE, AGAIN",20191017,코미디,한국,박용집
20185161,나를 찾아줘,Bring Me Home,20191127,스릴러,한국,김승우
20188393,"다시, 봄","Spring, Again",20190417,드라마,한국,정용주
20195878,더 빌리지,Dachra,20191107,공포(호러),기타,압델하미드 부크낙
20198414,시동,START-UP,20191218,드라마,한국,최정열
20174169,기묘한 가족,THE ODD FAMILY : ZOMBIE ON SALE,20190213,코미디,한국,이민재
20198303,정의심판,Justice Judgment,20191017,드라마,한국,조성현
20190470,이타미 준의 바다,The Sea of Itami Jun,20190815,다큐멘터리,한국,정다운
20175407,우상,Idol,20190320,스릴러,한국,이수진
20184133,어제 일은 모두 괜찮아,The Fault Is Not Yours,20191121,드라마,한국,이성한
20181103,벌새,House of Hummingbird,20190829,드라마,한국,김보라
20176251,내안의 그놈,The Dude in Me,20190109,판타지,한국,강효진
20181434,신의 한 수: 귀수편,The Divine Move 2: The Wrathful,20191107,범죄,한국,리건
20182530,극한직업,Extreme Job,20190123,코미디,한국,이병헌
20195002,블랙머니,BLACK MONEY,20191113,범죄,한국,정지영
20197394,체크 히어로,Checkered Ninja,20191023,애니메이션,덴마크,앤더스 마테센
20197601,마법안개의 비밀: 황금 보물선을 찾아라,Captain Morten and the Spider Queen,20191114,애니메이션,에스토니아,카스파 앤시스
20190861,트리플 스렛,Triple Threat,20190605,액션,태국,제시 V. 존슨
20194921,100일 동안 100가지로 100퍼센트 행복찾기,100 dinge,20190912,코미디,독일,플로리안 데이비드 핏츠
20193642,캐리tv 러브콘서트 더 무비,CarrieTV LOVE CONCERT : THE MOVIE ,20190807,공연,한국,정귀호
20183407,버티고,Vertigo,20191016,드라마,한국,전계수
20172464,앨리스 죽이기,To Kill Alice,20190808,다큐멘터리,한국,김상규
20198823,스마트폰을 떨어뜨렸을 뿐인데,Stolen Identity,20190404,스릴러,일본,나카타 히데오
20183137,동명이인 프로젝트 시즌2,TWO PERSON AT THE SAME TOWN SE2,20190704,기타,한국,이경원
20197691,잃어버린 세계를 찾아서,Missing Link,20191009,애니메이션,미국,크리스 버틀러
20188462,감쪽같은 그녀,A Little Princess,20191204,드라마,한국,허인무
20181168,메기,Maggie,20190926,미스터리,한국,이옥섭
20185201,아빠는 예쁘다,Dad is Pretty,20191121,가족,한국,김승협
20196653,유정 - 스며들다,,20190424,멜로/로맨스,한국,황일
20191302,우리 지금 만나,Let Us Meet Now,20190529,드라마,한국,김서윤
20193013,극장판 샤이닝스타:새로운 루나퀸의 탄생!,Shining Star: Lunar Queen,20190718,애니메이션,한국,박일호
20198123,아틱,ARCTIC,20190327,드라마,아이슬란드,조 페나
20198603,페이트 스테이 나이트 헤븐즈필 제2장 로스트 버터플라이,Fate/stay night [Heaven's Feel] II.lost butterfly,20190321,애니메이션,일본,스도 토모노리
20191105,나만 없어 고양이,"Hello, My Cat",20190822,가족,한국,복운석
20199448,어린 의뢰인,My First Client,20190522,드라마,한국,장규성
20196284,윤희에게,Moonlit Winter,20191114,멜로/로맨스,한국,임대형
20191371,디아스포라의 노래 : 아리랑 로드 ,Song of Diaspora : Arirang Road,20191212,다큐멘터리,한국,이규철
20196732,헤로니모,Jeronimo,20191121,다큐멘터리,한국,전후석
20196601,항거:유관순 이야기,A Resistance,20190227,드라마,한국,조민호
20193928,나의 노래는 멀리멀리,"Free My Soul, Free My Song",20191003,다큐멘터리,한국,현진식
20199161,사이코패스 시너스 오브 더 시스템 케이스2: 퍼스트 가디언,PSYCHO-PASS SINNERS OF THE SYSTEM Case 2: First Guardian,20191026,애니메이션,일본,시오타니 나오요시
20199107,사이코패스 시너스 오브 더 시스템 케이스1: 죄와 벌,PSYCHO-PASS SINNERS OF THE SYSTEM Case 1: Crime and Punishment,20191026,애니메이션,일본,시오타니 나오요시
20185784,나의 특별한 형제,Inseparable Bros,20190501,드라마,한국,육상효
20198948,두 교황,The Two Popes,20191211,드라마,미국,페르난도 메이렐레스
20190703,우리집,The House of Us,20190822,드라마,한국,윤가은
20180868,뺑반,Hit-and-Run Squad,20190130,범죄,한국,한준희
20183391,앵커,Anchor,20191128,드라마,한국,최정민
20198430,나이브스 아웃,KNIVES OUT,20191204,미스터리,미국,라이언 존슨
20180442,사자,The Divine Fury,20190731,미스터리,한국,김주환
20198201,"오늘, 우리","Today, Together",20191031,드라마,한국,조은지
20193601,장사리 : 잊혀진 영웅들,Battle of Jangsari,20190925,전쟁,한국,곽경택
20197441,재혼의 기술,Remarriage Skills,20191017,멜로/로맨스,한국,조성규
20190531,은지: 돌이킬 수 없는 그녀 ,Eun Ji,20191219,미스터리,한국,구모
20199346,우키시마호,Ukishima Maru Survivor,20190919,다큐멘터리,한국,김진홍
20196285,오만,Huris,20190905,드라마,한국,지일주
20191106,영화로운 나날,Film Adventure,20191212,멜로/로맨스,한국,이상덕
20194456,양자물리학,By Quantum Physics: A Nightlife Venture,20190925,범죄,한국,이성태
20193669,애월,Moonfishing in Aewol,20190926,멜로/로맨스,한국,박철우
20195621,아직 지나지 않은 여름,Still Summer,20191101,드라마,한국,윤형철
20180902,아워 바디,Our Body,20190926,드라마,한국,한가람
20188121,수퍼 디스코,Super Disco,20191128,다큐멘터리,한국,이주호
20183848,수상한 이웃,Rainbow Playground,20191009,코미디,한국,이상훈
20190678,삽질,Rivercide: The Secret Six,20191114,다큐멘터리,한국,김병기
20149501,사선의 끝,The Threshold of Death,20191030,드라마,한국,이은상
20174266,여수 밤바다,The Night View of the Ocean in Yeosu,20191010,코미디,한국,정형석
20191783,열두 번째 용의자,The 12th Suspect,20191010,미스터리,한국,고명성
20192904,탈출,,20191219,드라마,한국,이숭환
20186707,오늘도 위위,The Journey of the 12 Cats,20191017,드라마,한국,박범준
20198981,우리 누나 친구 무삭제,,20191024,멜로/로맨스,한국,김부곤
20193828,북간도의 십자가,,20191017,다큐멘터리,한국,반태경
20184483,퍼펙트맨,Man of Men,20191002,코미디,한국,용수
20184243,판소리 복서,My Punch-Drunk Boxer,20191009,코미디,한국,정혁기
20195041,폐교,,20190905,공포(호러),한국,최효원
20191029,82년생 김지영,"KIM JI-YOUNG, BORN 1982 ",20191023,드라마,한국,김도영
20193625,며느리의 남자 무삭제,,20191031,멜로/로맨스,한국,김환
20195561,행동하는 양심 김대중,President,20191128,다큐멘터리,한국,신상민
20187322,"힘을 내요, 미스터 리","CHEER UP, MR. LEE",20190911,코미디,한국,이계벽
20181096,마왕의 딸 이리샤,"Ireesha, The Daughter of Elf-king",20190926,애니메이션,한국,장형윤
20181087,호흡,Clean Up,20191219,드라마,한국,권만기
20181114,라스트 씬,Last Scene,20191212,다큐멘터리,한국,박배일
20189647,"동물, 원","Garden, Zoological",20190905,다큐멘터리,한국,왕민철
20183744,니나 내나,Family Affair,20191030,드라마,한국,이동은
20181109,녹차의 중력,Gravity of the Tea,20191128,다큐멘터리,한국,정성일
20183424,기억할 만한 지나침,Ephemerals to Remember,20191219,드라마,한국,박영임
20193821,극장판 헬로카봇 : 달나라를 구해줘!,Hello Carbot the Movie: Save the Moon,20190904,애니메이션,한국,최신규
20196405,극장판 타오르지마 버스터-블랙어썰트의 귀환,The Return of Dark Assault,20191205,코미디,한국,조영광
20181199,계절과 계절 사이,Between the Seasons,20191003,드라마,한국,김준식
20198978,갈까부다,Wish You Were Here,20190901,다큐멘터리,한국,고봉수
20190385,웃는남자 감독판,,20191129,공연,한국,김수기
20195920,가장 보통의 연애,Crazy Romance,20191002,멜로/로맨스,한국,김한결
20183072,어멍,Eomung,20191121,드라마,한국,고훈
20198182,아내를 죽였다,Killed My Wife,20191211,스릴러,한국,김하라
20194621,아직 사랑하고 있습니까?,HOW TO LIVE IN THIS WORLD,20191204,코미디,한국,신양중
20195083,너의 여자친구,My Bossy Girl,20191204,코미디,한국,이장희
20181205,영하의 바람,Sub-zero Wind,20191114,드라마,한국,김유리
20196705,집 이야기,I Am Home,20191128,드라마,한국,박제범
20184341,얼굴없는 보스,The Faceless Boss,20191121,액션,한국,송창용
20183041,삼촌,The Uncle,20191128,미스터리,한국,김형진
20199564,접전: 갑을 전쟁,Driving With My Boss,20191121,코미디,한국,지성원
20181164,카센타,NAILED,20191127,범죄,한국,하윤재
20196781,우리를 갈라놓는 것들,Things That Do Us Part,20191128,다큐멘터리,한국,임흥순
20199781,지금 이순간,,20191212,드라마,한국,이수성
20198435,첫잔처럼,,20191011,드라마,한국,백승환
20190164,더하우스,,20191212,스릴러,한국,박균이
20188750,나쁜 녀석들: 더 무비,The Bad Guys: Reign of Chaos,20190911,범죄,한국,손용호
20194191,본 투 드라이브 ,Born2Drive,20191212,다큐멘터리,노르웨이,다니엘 파레
20193275,브링 더 소울 : 더 무비,BRING THE SOUL : THE MOVIE,20190807,기타,한국,박준수
20184462,봉오동 전투,The Battle: Roar to Victory,20190807,사극,한국,원신연
20193827,블루노트 레코드,Blue Note Records: Beyond the Notes ,20190815,다큐멘터리,영국,소피 후버
20198829,굿바이 썸머,Goodbye Summer,20190725,드라마,한국,박주영
20183096,생일,Birthday,20190403,드라마,한국,이종언
20182585,비스트,The Beast,20190626,범죄,한국,이정호
20194241,토막살인범의 고백,A Young Man with High Potential,20191017,드라마,독일,리누스 드 파올리
20195895,헬로우 평양,A Postcard from PyongYang,20190926,다큐멘터리,독일,그레고르 뮐러
20188941,악인전,"The Gangster, The Cop, The Devil",20190515,범죄,한국,이원태
20195791,"어쩌다, 결혼",Trade Your Love,20190227,멜로/로맨스,한국,박호찬
20191844,킹 오브 프리즘 –샤이니 세븐 스타즈- IV 루이x신x언노운,KING OF PRISM -Shiny Seven Stars- IV ルヰ×シン×Unknown,20190530,애니메이션,일본,히시다 마사카즈
20190923,킹 오브 프리즘 -샤이니 세븐 스타즈- Ⅲ 레오×유우×알렉,KING OF PRISM -Shiny Seven Stars- III レオ×ユウ×アレク,20190502,애니메이션,일본,히시다 마사카즈
20199814,킹 오브 프리즘 –샤이니 세븐 스타즈- II 카케루x조지x미나토,KING OF PRISM -Shiny Seven Stars- II,20190404,애니메이션,일본,히시다 마사카즈
20197723,킹 오브 프리즘 -샤이니 세븐 스타즈-,KING OF PRISM -Shiny Seven Stars-,20190307,애니메이션,일본,히시다 마사카즈
20194045,극장판 반지의 비밀일기,Banzi’s Secret Diary,20190911,애니메이션,한국,한승우
20185985,광대들: 풍문조작단,Jesters: The Game Changers,20190821,사극,한국,김주호
20192083,터미네이터: 다크 페이트,Terminator: Dark Fate,20191030,액션,미국,팀 밀러
20162140,려행,Ryeohaeng,20190808,다큐멘터리,한국,임흥순
20190623,베스테르플라테 전투,Tajemnica Westerplatte,20191128,드라마,폴란드,무명
20191591,동경,,20190801,드라마,한국,윤웅대
20198962,결혼 이야기,Marriage Story,20191127,멜로/로맨스,영국,노아 바움백
20198942,아이리시맨,The Irishman,20191120,범죄,미국,마틴 스코세이지
20190602,"고흐, 영원의 문에서",At eternity's gate ,20191226,드라마,미국,줄리언 슈나벨
