movieCd,movieNm,movieNmEn,openDt,repGenreNm,repNationNm,directors
20176324,유혹 : 내 아내의 비밀,A Secret of My Wife,20170515,기타,일본,조조 히데오
20177462,사슬-두여자의유혹-무삭제,,20170608,스릴러,한국,박선욱
20170930,사슬 - 두 여자의 유혹,,20170411,스릴러,한국,박선욱
20176325,변태정력왕 : 투명인간의탄생,Invisible Kinky Man - Forbidden Love Portion,20170515,기타,일본,오쿠 와타루
20177743,50대 장모님의 불타는 사위사랑,,20171204,기타,한국,김두민
20177055,유부녀 야썰,,20171205,,한국,최석원
20176924,달콤한 여선배 무삭제,,20171127,,한국,양석우
20176339,여선생 무삭제,,20171120,,한국,김대성
20176302,거부 못할 제자의 향기,THE QUILT & EROS,20171117,,일본,토미오카 타다후미
20178844,사촌누나와 동거-무삭제,,20171221,기타,한국,김순수
20178363,음란한 좀비녀의 섹스 일기,Half Zombie dead or alive,20170619,기타,일본,무명
20178381,내 아내의 대낮 정사,Family Breakdown,20170619,기타,일본,무명
20176659,철없는 아내의 이중생활,,20171123,,한국,최석원
20176827,성 심청전,,20171121,,한국,이슬
20173230,충격 여성 수용소: 섹스스캔들,confidential Ward Area88,20170912,,일본,무명
20172902,형님아내3감독판(아랫집 부인) ,,20170906,,한국,이돌
20170026,연상녀들 : 내가 가르쳐 줄게,,20170905,기타,한국,이리단
20172471,처제의 속사정,,20170907,,한국,최석원
20175128,내 학생의 엄마 2,,20171109,멜로/로맨스,한국,곽영근
20168752,내 학생의 엄마 무삭제판,,20170119,멜로/로맨스,한국,기대호
20172962,착한 형수 2,,20171019,멜로/로맨스,한국,곽영근
20176621,착한 형수 무삭제,,20170530,멜로/로맨스,한국,기대호
20173251,여자 하숙집 무삭제,,20171017,멜로/로맨스,한국,이리단
20174562,여자 하숙집,,20170511,멜로/로맨스,한국,이리단
20171850,내 여자의 엄마(무삭제),,20170821,멜로/로맨스,한국,석영오
20179695,내 여자의 엄마,,20170222,멜로/로맨스,한국,석영오
20175384,성판17: 남자들의 17가지 성적 판타지,,20171130,멜로/로맨스,한국,송은주
20179001,미용실 : 특별한 서비스 무삭제,,20170125,멜로/로맨스,한국,이리단
20170365,동창회의 목적: 더 비기닝 (무삭제),,20170726,멜로/로맨스,한국,정대만
20160129,동창회의 목적: 더 비기닝,,20170202,멜로/로맨스,한국,정대만
