movieCd,movieNm,movieNmEn,openDt,repGenreNm,repNationNm,directors
20234639,남친이 군대 간 사이,,20230926,,한국,무명
20234295,교환부부의 세계3 ： 그들만의 은밀한 테크닉,,20230915,,한국,무명
20234065,술집에서 몰래 하는 사이,,20230913,,한국,핑마
20234064,AS기사 유혹하는 여주인,,20230925,,한국,핑마
20234053,여대생 가사도우미,,20230830,,한국,무명
20233663,mz 자매의 목적,,20230815,,한국,함성한
20233665,새엄마 아빠에게는 비밀로 해요,MOTEASOBUGIRINOHAHA,20230901,,일본,무명
20233532,여사장 : 월급대신 떡,,20230926,,한국,무명
20233530,우리동네 미용실 ： 2대1서비스,,20230816,,한국,한마음
20233118,그녀의 PS파트너,,20230802,,한국,무명
20233178,블루 자이언트,Blue Giant,20231018,애니메이션,일본,타치카와 유즈루
20219997,드림팰리스,Dream Palace,20230531,드라마,한국,가성문
20224579,악마들,Devils,20230705,액션,한국,김재훈
19888116,거룩한 술꾼의 전설,The Legend of the Holy Drinker,20230830,드라마,이탈리아,에르마노 올미
20239877,애프터썬,Aftersun,20230201,드라마,영국,무명
20228210,괴인,A Wild Roomer,20231108,드라마,한국,이정홍
20231664,내 아내를 임신시켜줘,,20230518,성인물(에로),한국,한동연
20236795,리향,,20231228,드라마,한국,신재천
20232620,2022 심규선 단독 콘서트 [밤의 정원: 앙코르],,20230708,공연,한국,이승남
20193706,카운트,Count,20230222,드라마,한국,권혁재
20232077,어른 김장하,A Man Who Heals the City,20231115,다큐멘터리,한국,김현지
20218541,밀수,Smugglers,20230726,액션,한국,류승완
20231830,섹스에 빠진 제수씨 무삭제판,,20230629,성인물(에로),일본,사쿠라비토
20197654,소울메이트,Soulmate,20230315,드라마,한국,민용근
20212667,화사한 그녀,MISS FORTUNE,20231011,코미디,한국,이승준
20227626,화란,Hopeless,20231011,드라마,한국,김창훈
20227679,프리 철수 리,Free Chol Soo Lee,20231018,다큐멘터리,한국,하줄리
20224495,폭로,Havana,20230920,범죄,한국,홍용호
20225824,치악산,Mount CHIAK,20230913,공포(호러),한국,김선웅
20227410,천박사 퇴마 연구소: 설경의 비밀,Dr. Cheon And The Lost Talisman,20230927,판타지,한국,김성식
20227891,지옥만세,Hail to Hell,20230816,어드벤처,한국,임오정
20211101,절해고도,A Lonely Island in the Distant Sea,20230927,드라마,한국,김미영
20224667,잠,Sleep,20230906,미스터리,한국,유재선
20228571,작은정원,Little Garden,20230712,다큐멘터리,한국,이마리오
20231794,우리의 하루,In Our Day,20231019,드라마,한국,홍상수
20224517,용감한 시민,Brave Citizen,20231025,액션,한국,박진표
20212350,약속,Promise,20231101,다큐멘터리,한국,민병훈
20202247,싱글 인 서울,Single in Seoul,20231129,멜로/로맨스,한국,박범수
20233075,신체모음.zip,Body Parts,20230830,공포(호러),한국,최원경
20212866,서울의 봄,12.12: THE DAY,20231122,드라마,한국,김성수
20230966,사채소년,Usury Academy,20231122,액션,한국,황동석
20234673,뽀로로 극장판 슈퍼스타 대모험,PORORO POPSTAR ADVENTURE,20231213,애니메이션,한국,윤제완
20232227,믿을 수 있는 사람,A Tour Guide,20231018,드라마,한국,곽은미
20233921,물귀신,Bottom of the Water,20231109,공포(호러),한국,임지훈
20227522,룩앳미 터치미 키스미,Look At Me Touch Me Kiss Me,20231206,멜로/로맨스,한국,호 유항
20231930,독친,Toxic Parents,20231101,공포(호러),한국,김수인
20235290,도티와 영원의 탑,Dotty and the Tower of Eternity,20231227,애니메이션,한국,배완
20218935,더 문,The Moon,20230802,SF,한국,김용화
20226500,달짝지근해: 7510,HONEYSWEET,20230815,코미디,한국,이한
20212365,느티나무 아래,Under the Zelkova,20231115,다큐멘터리,한국,오정훈
20225894,뉴 노멀,NEW NORMAL,20231108,스릴러,한국,정범식
20203702,노량: 죽음의 바다,Noryang: Deadly Sea ,20231220,사극,한국,김한민
20227628,나의 피투성이 연인,Birth,20231115,드라마,한국,유지영
20234798,극장판 우당탕탕 은하안전단: 진정한 용기!,Let's Go! Galaxy Guards The Movie: True Courage! ,20231130,애니메이션,한국,정지훈
20226897,그녀의 취미생활,Her Hobby,20230830,미스터리,한국,하명미
20227525,교토에서 온 편지,A Letter from Kyoto,20231206,드라마,한국,김민주
20223896,거미집,COBWEB,20230927,코미디,한국,김지운
20197122,1947 보스톤,Road to Boston,20230927,드라마,한국,강제규
20228819,30일,Love Reset,20231003,코미디,한국,남대중
20218078,납치: 사라진 메구미,The Pledge to Megumi,20230923,드라마,일본,무명
20211047,오늘 출가합니다,I Leave Home,20230405,드라마,한국,김성환
20230167,아줌마,AJOOMMA,20231129,드라마,한국,허 슈밍
20231212,바람개비,Windmill,20230510,액션,한국,이상훈
20234796,비밀,Unforgivable,20231213,미스터리,한국,임경호
20190324,3일의 휴가,Our Season,20231206,판타지,한국,육상효
20233203,르네에게,Dear Renée,20231227,드라마,한국,강승원
20227550,5시부터 7시까지의 주희,Juhee from 5 to 7,20231108,드라마,한국,장건재
20223609,비밀의 언덕,The Hill of Secrets,20230712,기타,한국,이지은
20224723,시간을 꿈꾸는 소녀,Girl who dreams about time,20230111,다큐멘터리,한국,박혁지
20231634,괴담만찬,Tastes of Horror,20231018,공포(호러),한국,안상훈
